id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
1,2024 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12737402,7332,"$32,995",False,2025-07-22,32995,7332,2024,20,False
2,FORD MAVERICK 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12737459,0,,False,2025-07-22,,0,2022,20,False
3,FORD MAVERICK LARIAT FX4 AWD 2022 EQUIPADA!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12753898,19100,,False,2025-07-22,,19100,2022,20,False
4,FORD MAVERICK HYBRID 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12762294,3,"$29,990",True,2025-07-22,29990,3,2024,20,True
5,FORD MAVERICK XL  DESDE 27095,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12569114,11,"$27,095",False,2025-07-22,27095,11,,20,False
6,FORD MAVERICK XLT EN LIQUIDACION PRECIO REAL!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12742387,,"$24,995",False,2025-07-22,24995,,,20,False
7,FORD MAVERICK XLT 2024 (NUEVA),https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12789085,5,"$30,495",False,2025-07-22,30495,5,2024,20,False
8,NUEVA Y REDISENADA MAVERICK LOBO AWD 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12731730,12,"$50,991",False,2025-07-22,50991,12,2025,20,False
9,FORD MAVERICK XLT EN LIQUIDACION PRECIO REAL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12706717,0,"$24,995",False,2025-07-22,24995,0,,20,False
10,FORD MAVERICK LARIAT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12778089,7200,"$29,995",False,2025-07-22,29995,7200,2022,20,False
11,2022 FORD MAVERICK LARIAT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12748502,34557,"$36,995",False,2025-07-22,36995,34557,2022,20,False
12,Maverick XLT AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12016015,,"$39,695",False,2025-07-22,39695,,2022,20,False
13,Ford Maverick XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12273390,,"$35,995",False,2025-07-22,35995,,2023,20,False
14,Ford Maverick XL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12786343,31968,"$25,990",False,2025-07-22,25990,31968,,20,False
15,2022 Ford Maverick xlt,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12774705,51926,"$29,995",False,2025-07-22,29995,51926,2022,20,False
16,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12776305,31446,"$26,990",False,2025-07-22,26990,31446,2022,20,False
17,Ford Maverick XLT AWD 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788433,276,"$35,995",False,2025-07-22,35995,276,2024,20,False
18,FORD MAVERICK 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12524295,1027,,False,2025-07-22,,1027,2024,20,False
